tsne-2d-one,tsne-2d-two,cluster
15.447603,30.577614,2
-57.47527,7.908156,4
33.429386,-18.296196,0
-43.13467,24.862082,1
-21.996313,-13.318796,1
-23.357967,34.052803,1
-74.69588,-14.549546,4
-32.823948,-28.38459,2
46.784813,23.280281,0
-18.286295,-5.3364987,1
-70.21847,-6.9740033,4
12.50482,21.429588,3
-48.510403,9.237906,1
-49.00351,9.478182,4
-38.819366,3.3617876,1
19.185762,2.897471,2
10.920057,-26.832144,2
-41.449963,-8.353719,1
-51.65428,-2.7722137,4
5.7389145,-21.216635,2
34.367447,-2.8491967,0
0.56907666,-38.42087,2
-33.253162,-13.828829,1
-6.190602,8.6741495,2
-34.9958,-5.155936,1
26.013178,2.248397,2
-19.100754,-10.504734,1
-58.06916,-7.0578246,4
4.858819,10.272664,3
67.463776,17.0619,0
-30.201454,-25.468079,1
-21.526718,-12.047019,1
66.550995,8.977583,0
-39.183235,-16.98773,1
-34.781063,-5.940738,1
-37.73837,-2.4388466,1
45.66044,10.295909,0
-36.90256,-22.951843,1
-31.7319,-14.099037,1
31.92663,0.9536798,0
-41.59157,-3.3820252,1
49.659645,-17.856873,0
-35.866394,4.118124,1
-15.614542,-6.715119,1
-58.703743,-9.212563,4
-19.663315,30.872528,3
-35.652824,3.8631008,1
3.7129662,-29.21924,2
-30.152899,-30.85862,1
46.935547,5.1651845,0
37.395084,19.327229,0
-62.603218,7.5820913,4
-28.32568,26.688742,1
49.136616,-5.052559,3
32.34222,7.0184207,0
-37.32393,-9.79442,1
9.919256,-28.69658,2
58.71338,8.70953,0
-63.822426,5.7015924,4
-1.2367971,-2.6477401,3
31.16211,14.226357,0
57.80541,7.541562,0
-16.914549,-9.870195,2
-16.514385,-18.1305,2
-35.444168,-6.6481857,1
62.902004,13.679902,0
21.717274,28.004614,3
4.072723,20.455757,3
-7.444168,2.9621122,1
11.123665,10.907268,3
-75.51362,-11.868314,4
-23.359556,-12.36529,1
33.821907,8.327562,2
-60.69103,9.827594,4
18.91342,-27.098167,2
-7.601687,16.81273,3
2.121155,-2.29072,2
20.574472,-11.274422,2
18.443771,-36.516838,2
-10.862263,-8.671996,2
-39.75306,-9.942495,1
-61.429634,9.967408,4
-24.339394,-7.8609056,1
-46.705288,-6.4620724,1
10.055324,0.85464114,2
-24.07527,-14.101242,1
-31.857267,-23.11921,2
-51.87123,-8.685133,4
5.1684847,22.522614,1
-70.83681,0.40992552,4
40.473793,-0.42478055,0
64.743126,11.142683,0
-36.018658,-2.0074499,1
16.725624,32.086487,3
74.57092,-0.037331168,0
-31.403858,0.7097579,1
25.776926,-23.652645,2
-78.203224,-6.839657,4
38.496838,-9.538972,3
-23.493471,-9.971492,1
8.91752,31.055508,3
-24.400974,18.597239,1
11.53615,-32.473747,2
